mes_ano	indice	indice_acumulado_ano	indice_acumulado_12meses	indice_acumulado_jan_93
Dez/2010	0.69	11.3220	11.3220	1083.6227
Nov/2010	1.45	10.5592	10.2717	1076.1970
Out/2010	1.01	8.9790	8.8043	1060.8152
Set/2010	1.15	7.8893	7.7702	1050.2081
Ago/2010	0.77	6.6627	6.9925	1038.2680
Jul/2010	0.15	5.8476	5.7927	1030.3344
Jun/2010	0.85	5.6891	5.1800	1028.7912
Mai/2010	1.19	4.7983	4.1892	1020.1202
Abr/2010	0.77	3.5659	2.8919	1008.1235
Mar/2010	0.94	2.7745	1.9525	1000.4203
Fev/2010	1.18	1.8174	0.2556	991.1039
Jan/2010	0.63	0.6300	-0.6559	979.5453
Dez/2009	-0.26	-1.7123	-1.7123	973.4128
Nov/2009	0.10	-1.4561	-1.5842	975.9503
Out/2009	0.05	-1.5545	-1.3089	974.9753
Set/2009	0.42	-1.6037	-0.3915	974.4880
Ago/2009	-0.36	-2.0152	-0.6990	970.4123
Jul/2009	-0.43	-1.6612	-0.6591	973.9183
Jun/2009	-0.10	-1.2365	1.5258	978.1243
Mai/2009	-0.07	-1.1377	3.6397	979.1034
Abr/2009	-0.15	-1.0684	5.3820	979.7893
Mar/2009	-0.74	-0.9198	6.2686	981.2612
Fev/2009	0.26	-0.1811	7.8531	988.5767
Jan/2009	-0.44	-0.4400	8.1435	986.0130
Dez/2008	-0.13	9.8054	9.8054	990.3707
Nov/2008	0.38	9.9484	11.8835	991.6598
Out/2008	0.98	9.5321	12.2290	987.9058
Set/2008	0.11	8.4691	12.3068	978.3183
Ago/2008	-0.32	8.3500	13.6305	977.2433
Jul/2008	1.76	8.6978	15.1125	980.3805
Jun/2008	1.98	6.8178	13.4383	963.4242
Mai/2008	1.61	4.7439	11.5250	944.7188
Abr/2008	0.69	3.0842	9.8017	929.7498
Mar/2008	0.74	2.3778	9.0930	923.3785
Fev/2008	0.53	1.6258	8.6598	916.5957
Jan/2008	1.09	1.0900	8.3788	911.7634
Dez/2007	1.76	7.7463	7.7463	901.9323
Nov/2007	0.69	5.8827	6.2215	886.3328
Out/2007	1.05	5.1572	6.2849	880.2591
Set/2007	1.29	4.0645	5.6748	871.1124
Ago/2007	0.98	2.7391	4.6315	860.0181
Jul/2007	0.28	1.7421	3.9995	851.6718
Jun/2007	0.26	1.4580	3.8958	849.2937
Mai/2007	0.04	1.1949	4.4035	847.0913
Abr/2007	0.04	1.1544	4.7583	846.7526
Mar/2007	0.34	1.1140	4.2767	846.4140
Fev/2007	0.27	0.7713	3.6843	843.5460
Jan/2007	0.50	0.5000	3.4154	841.2745
Dez/2006	0.32	3.8476	3.8476	837.0891
Nov/2006	0.75	3.5164	3.5060	834.4189
Out/2006	0.47	2.7458	3.1464	828.2074
Set/2006	0.29	2.2651	3.2799	824.3330
Ago/2006	0.37	1.9694	2.4355	821.9494
