"","nome_socio","txNomeParlamentar","nomeCivil","distancia","considerado.igual"
"440","GERALDO TENUTA FILHO","BISPO GÊ TENUTA","GERALDO TENUTA FILHO",0,TRUE
"441","WILLIAM BOSS WOO","WILLIAM WOO","WILLIAM BOSS WOO",0,TRUE
"442","WILSON LEITE BRAGA","WILSON BRAGA","WILSON LEITE BRAGA",0,TRUE
"443","JOAO FERNANDO PONTUAL COUTINHO","JOÃO FERNANDO COUTINHO","JOAO FERNANDO PONTUAL COUTINHO",0,TRUE
"444","MAURO RIBEIRO LOPES","Mauro Lopes","MAURO RIBEIRO LOPES",0,TRUE
"445","FLAVIA CAROLINA PERES","Flávia Arruda","FLAVIA CAROLINA PERES",0,TRUE
"446","ROBERTO SOARES PESSOA","Roberto Pessoa","ROBERTO SOARES PESSOA",0,TRUE
"447","ROGERIO TEIXEIRA JUNIOR","Juninho do Pneu","ROGERIO TEIXEIRA JUNIOR",0,TRUE
"448","FERNANDO DANTAS TORRES","FERNANDO TORRES","FERNANDO JOSE TORRES",8,FALSE
"449","FERNANDO DANTAS TORRES","FERNANDO TORRES","FERNANDO DANTAS TORRES",0,TRUE
"450","LAUDIVIO ALVARENGA CARVALHO","LAUDIVIO CARVALHO","LAUDIVIO ALVARENGA CARVALHO",0,TRUE
"451","ANTONIO ROBERTO SOARES","ANTÔNIO ROBERTO","ANTONIO ROBERTO SOARES",0,TRUE
"452","DEOCLIDES ANTONIO SANTOS NETO MACEDO","DEOCLIDES MACEDO","DEOCLIDES ANTONIO SANTOS NETO MACEDO",0,TRUE
"453","JOSE CARLOS VIEIRA","JOSÉ CARLOS VIEIRA","JOSE CARLOS VIEIRA",0,TRUE
"454","JESUS RODRIGUES ALVES","JESUS RODRIGUES","JESUS RODRIGUES ALVES",0,TRUE
"455","LUIZ GIONILSON PINHEIRO BORGES","CABUÇU BORGES","LUIZ GIONILSON PINHEIRO BORGES",0,TRUE
"456","ALEXANDRE AGUIAR CARDOSO","ALEXANDRE CARDOSO","ALEXANDRE AGUIAR CARDOSO",0,TRUE
"457","ANDRE PEIXOTO FIGUEIREDO LIMA","André Figueiredo","ANDRE PEIXOTO FIGUEIREDO LIMA",0,TRUE
"458","EUGENIO RABELO","EUGÊNIO RABELO","EUGENIO RABELO",0,TRUE
"459","JOSE SARNEY FILHO","SARNEY FILHO","JOSE SARNEY FILHO",0,TRUE
"460","SEBASTIAO SIBA MACHADO OLIVEIRA","SIBÁ MACHADO","SEBASTIAO SIBA MACHADO OLIVEIRA",0,TRUE
"461","FRANCISCO DANILO BASTOS FORTE","Danilo Forte","FRANCISCO DANILO BASTOS FORTE",0,TRUE
"462","ALEX CANZIANI SILVEIRA","ALEX CANZIANI","ALEX CANZIANI SILVEIRA",0,TRUE
"463","FABIO FERNANDES DE SOUSA","FÁBIO SOUSA","FABIO FERNANDES DE SOUSA",0,TRUE
"464","PAULO RENATO COSTA SOUZA","PAULO RENATO SOUZA","PAULO RENATO COSTA SOUZA",0,TRUE
"465","MICHEL MIGUEL ELIAS TEMER LULIA","MICHEL TEMER","MICHEL MIGUEL ELIAS TEMER LULIA",0,TRUE
"466","JOSE FRANCISCO CERQUEIRA TENORIO","FRANCISCO TENÓRIO","JOSE FRANCISCO CERQUEIRA TENORIO",0,TRUE
"467","JOSE EDMAR DE CASTRO CORDEIRO","JOSÉ EDMAR","JOSE EDMAR DE CASTRO CORDEIRO",0,TRUE
"468","ALCENI ANGELO GUERRA","ALCENI GUERRA","ALCENI ANGELO GUERRA",0,TRUE
"469","LUIZ FERNANDO RAMOS FARIA","LUIZ FERNANDO FARIA","LUIZ FERNANDO RAMOS FARIA",0,TRUE
"470","ILDON MARQUES DE SOUZA","ILDON MARQUES","ILDON MARQUES DE SOUZA",0,TRUE
"471","ROBERTO COELHO ROCHA","ROBERTO ROCHA","ROBERTO COELHO ROCHA",0,TRUE
"472","LUIZ GONZAGA RIBEIRO","Subtenente Gonzaga","LUIZ GONZAGA RIBEIRO",0,TRUE
"473","JOSE DE FILIPPI JUNIOR","JOSÉ DE FILIPPI","JOSE DE FILIPPI JUNIOR",0,TRUE
"474","JOSE HELENO DA SILVA","HELENO SILVA","JOSE HELENO DA SILVA",0,TRUE
"475","ALMIR MORAIS SA","SÁ","ALMIR MORAIS SA",0,TRUE
"476","JOSE ALBERTO FOGACA DE MEDEIROS","JOSÉ FOGAÇA","JOSE ALBERTO FOGACA DE MEDEIROS",0,TRUE
"477","FLAVIO DINO DE CASTRO E COSTA","FLÁVIO DINO","FLAVIO DINO DE CASTRO E COSTA",0,TRUE
"478","JAQUELINE MARIA RORIZ","JAQUELINE RORIZ","JAQUELINE MARIA RORIZ",0,TRUE
"479","OTTO ROBERTO MENDONCA DE ALENCAR FILHO","Otto Alencar Filho","OTTO ROBERTO MENDONCA DE ALENCAR FILHO",0,TRUE
"480","CELSO ALENCAR RAMOS JACOB","CELSO JACOB","CELSO ALENCAR RAMOS JACOB",0,TRUE
"481","ANTONIO GOULART DOS REIS","GOULART","ANTONIO GOULART DOS REIS",0,TRUE
"482","ENIO JOSE VERRI","Enio Verri","ENIO JOSE VERRI",0,TRUE
"483","JOENIA BATISTA DE CARVALHO","Joenia Wapichana","JOENIA BATISTA DE CARVALHO",0,TRUE
"484","AUDIFAX CHARLES PIMENTEL BARCELOS","AUDIFAX","AUDIFAX CHARLES PIMENTEL BARCELOS",0,TRUE
"485","JONAS DONIZETTE FERREIRA","JONAS DONIZETTE","JONAS DONIZETTE FERREIRA",0,TRUE
"486","BENITO DA GAMA SANTOS","BENITO GAMA","BENITO DA GAMA SANTOS",0,TRUE
"487","DENIS ANDERSON DA ROCHA BEZERRA","Denis Bezerra","DENIS ANDERSON DA ROCHA BEZERRA",0,TRUE
"488","ERNANDES SANTOS AMORIM","ERNANDES AMORIM","ERNANDES SANTOS AMORIM",0,TRUE
"489","ELIZEU DIONIZIO SOUZA DA SILVA","ELIZEU DIONIZIO","ELIZEU DIONIZIO SOUZA  DA SILVA",1,TRUE
"490","VITAL DO REGO FILHO","VITAL DO REGO FILHO","VITAL DO REGO FILHO",0,TRUE
"491","MAURO MARIANI","MAURO MARIANI","MAURO MARIANI",0,TRUE
"492","CHARLLES THOMACELLI EVANGELISTA","Charlles Evangelista","CHARLLES THOMACELLI EVANGELISTA",0,TRUE
"493","HERACLITO DE SOUSA FORTES","HERÁCLITO FORTES","HERACLITO DE SOUSA FORTES",0,TRUE
"494","ARTHUR CESAR PEREIRA DE LIRA","Arthur Lira","ARTHUR CESAR PEREIRA DE LIRA",0,TRUE
"495","JOSE AIRTON FELIX CIRILO DA SILVA","José Airton Félix Cirilo","JOSE AIRTON FELIX CIRILO DA SILVA",0,TRUE
"496","GERSON DOS SANTOS PERES","GERSON PERES","GERSON DOS SANTOS PERES",0,TRUE
"497","JORGE WICKS CORTE REAL","JORGE CÔRTE REAL","JORGE WICKS CORTE REAL",0,TRUE
"498","JERONIMO DE OLIVEIRA REIS","JERONIMO REIS","JERONIMO REIS",12,FALSE
"499","ROBERTO SALAME FILHO","BETO SALAME","ROBERTO SALAME FILHO",0,TRUE
"500","FABIO PAULINO GARCIA","FABIO GARCIA","FABIO PAULINO GARCIA",0,TRUE
"501","RONALDO SOARES","ARNALDO FARIA DE SÁ","ARNALDO FARIA DE SA",11,FALSE
"502","WALTER PEREIRA ALVES","Walter Alves","WALTER PEREIRA ALVES",0,TRUE
"503","CARLOS ALBERTO CHIODINI","Carlos Chiodini","CARLOS ALBERTO CHIODINI",0,TRUE
"504","HUGO NAPOLEAO DO REGO NETO","HUGO NAPOLEÃO","HUGO  NAPOLEAO DO REGO",6,TRUE
"505","HUGO NAPOLEAO DO REGO NETO","HUGO NAPOLEÃO","HUGO NAPOLEAO DO REGO NETO",0,TRUE
"506","BRUNO COVAS LOPES","BRUNO COVAS","BRUNO COVAS LOPES",0,TRUE
